titleId,title,source
BCED00427,Official PlayStation Magazine Issue 28: February 2009,gametdb
BCED00428,Official PlayStation Magazine Issue 29: March 2009,gametdb
BCED00429,Official PlayStation Magazine Issue 30: April 2009,gametdb
BCED00430,Official PlayStation Magazine Issue 31: May 2009,gametdb
BCED00431,Official PlayStation Magazine Issue 32: June 2009,gametdb
BCED00432,Official PlayStation Magazine Issue 33: July 2009,gametdb
BCED00433,Official PlayStation Magazine Issue 34: August 2009,gametdb
BCED00434,Official PlayStation Magazine Issue 35: September 2009,gametdb
BCED00435,Official PlayStation Magazine Issue 36: October 2009,gametdb
BCED00436,Official PlayStation Magazine Issue 37: November 2009,gametdb
BCED00437,Official PlayStation Magazine Issue 38: December 2009,gametdb
BCED00438,Official PlayStation Magazine Issue 39: Christmas 2009,gametdb
BCED00439,Official PlayStation Magazine Issue 40: January 2010,gametdb
BCED00803,Official PlayStation Magazine Issue 41: February 2010,gametdb
BCED00804,Official PlayStation Magazine Issue 42: March 2010,gametdb
BCED00805,Official PlayStation Magazine Issue 43: April 2010,gametdb
BCED00806,Official PlayStation Magazine Issue 44: May 2010,gametdb
BCED00807,Official PlayStation Magazine Issue 45: June 2010,gametdb
BCED00808,Official PlayStation Magazine Issue 46: July 2010,gametdb
BCED00809,Official PlayStation Magazine Issue 47: August 2010,gametdb
BCED00810,Official PlayStation Magazine Issue 48: September 2010,gametdb
BCED00811,Official PlayStation Magazine Issue 49: October 2010,gametdb
BCED00812,Official PlayStation Magazine Issue 50: November 2010,gametdb
BCED00813,Official PlayStation Magazine Issue 51: December 2010,gametdb
BCED00814,Official PlayStation Magazine Issue 52: Christmas 2010,gametdb
BCED00815,Official PlayStation Magazine Issue 53: January 2011,gametdb
BCED01063,PlayStation Move Starter Disc,gametdb
BCED01196,Official PlayStation Magazine Issue 54: February 2011,gametdb
BCED01197,Official PlayStation Magazine Issue 55: March 2011,gametdb
BCED01198,Official PlayStation Magazine Issue 56: April 2011,gametdb
BCED01199,Official PlayStation Magazine Issue 57: May 2011,gametdb
BCED01200,Official PlayStation Magazine Issue 58: June 2011,gametdb
BCED01202,Official PlayStation Magazine Issue 60: August 2011,gametdb
BCED01203,Official PlayStation Magazine Issue 61: September 2011,gametdb
BCED01204,Official PlayStation Magazine Issue 62: October 2011,gametdb
BCED01205,Official PlayStation Magazine Issue 63: November 2011,gametdb
BCED01206,Official PlayStation Magazine Issue 64: December 2011,gametdb
BCED01207,Official PlayStation Magazine Issue 65: Christmas 2011,gametdb
BCED01208,Official PlayStation Magazine Issue 66: January 2012,gametdb
BCED01209,Official PlayStation Magazine Issue 67: February 2012,gametdb
BCED01564,Official PlayStation Magazine Issue 69: April 2012,gametdb
BCED01565,Official PlayStation Magazine Issue 70: May 2012,gametdb
BCED01566,Official PlayStation Magazine Issue 71: June 2012,gametdb
BCED01567,Official PlayStation Magazine Issue 72: July 2012,gametdb
BCED01568,Official PlayStation Magazine Issue 73: August 2012,gametdb
BCED01569,Official PlayStation Magazine Issue 74: September 2012,gametdb
BCED01570,Official PlayStation Magazine Issue 75: October 2012,gametdb
BCED01571,Official PlayStation Magazine Issue 76: November 2012,gametdb
BCED01572,Official PlayStation Magazine Issue 77: December 2012,gametdb
BCED01573,Official PlayStation Magazine Issue 78: Christmas 2012,gametdb
BCED01574,Official PlayStation Magazine Issue 79: January 2013,gametdb
BCED01575,Official PlayStation Magazine Issue 80: February 2013,gametdb
BCED01576,Official PlayStation Magazine Issue 81: March 2013,gametdb
BCED01577,Official PlayStation Magazine Issue 68: March 2012,gametdb
BCED01817,Official PlayStation Magazine Issue 82: April 2013,gametdb
BCED01818,Official PlayStation Magazine Issue 83: May 2013,gametdb
BCED01819,Official PlayStation Magazine Issue 84: June 2013,gametdb
BCES00001,Resistance: Fall of Man,gametdb
BCES00002,Genji: Days of the Blade,gametdb
BCES00004,Lair,gametdb
BCES00005,Formula One: Championship Edition,gametdb
BCES00006,MotorStorm,gametdb
BCES00007,The Eye of Judgment,gametdb
BCES00008,Warhawk,gametdb
BCES00009,Ridge Racer 7,gametdb
BCES00011,SingStar,gametdb
BCES00013,SingStar,gametdb
BCES00029,SingStar Pop Edition,gametdb
BCES00030,SingStar,gametdb
BCES00031,SingStar,gametdb
BCES00032,SingStar,gametdb
BCES00049,SingStar Queen,gametdb
BCES00050,Folklore,gametdb
BCES00051,SingStar,gametdb
BCES00052,Ratchet &amp;amp; Clank: Tools of Destruction,gametdb
BCES00057,Time Crisis 4,gametdb
BCES00065,Uncharted: Drake's Fortune,gametdb
BCES00068,Everybody's Golf: World Tour,gametdb
BCES00069,EyeCreate,gametdb
BCES00078,Heavenly Sword,gametdb
BCES00081,Killzone 2,gametdb
BCES00096,PlayTV,gametdb
BCES00098,Buzz! Quiz TV,gametdb
BCES00099,Buzz! Quiz TV,gametdb
BCES00104,Gran Turismo 5: Prologue,gametdb
BCES00112,NBA 08,gametdb
BCES00123,Heavenly Sword,gametdb
BCES00129,MotorStorm: Pacific Rift,gametdb
BCES00141,LittleBigPlanet,gametdb
BCES00173,SOCOM: Confrontation,gametdb
BCES00185,SingStar Vol. 2,gametdb
BCES00195,Buzz! Quiz TV,gametdb
BCES00216,SingStar Vol. 3,gametdb
BCES00220,inFamous,gametdb
BCES00225,White Knight Chronicles,gametdb
BCES00226,Resistance 2,gametdb
BCES00233,SingStar Vol. 2,gametdb
BCES00234,SingStar Vol. 2,gametdb
BCES00235,SingStar Vol. 2,gametdb
BCES00264,SingStar Hits,gametdb
BCES00265,SingStar Vol. 3,gametdb
BCES00266,SingStar Vol. 3,gametdb
BCES00267,SingStar Vol. 3,gametdb
BCES00293,SingStar Pop Edition,gametdb
BCES00294,Siren: Blood Curse,gametdb
BCES00301,Ratchet &amp;amp; Clank: Quest for Booty,gametdb
BCES00303,Buzz! Quiz TV,gametdb
BCES00304,Buzz! Quiz TV,gametdb
BCES00305,Buzz! Quiz TV,gametdb
BCES00341,SingStar Pop Edition,gametdb
BCES00342,SingStar Pop 2009,gametdb
BCES00343,SingStar Svenska Stjärnor,gametdb
BCES00344,SingStar SuomiPop,gametdb
BCES00345,SingStar A Tutto Pop,gametdb
BCES00346,SingStar Hits 2,gametdb
BCES00347,Buzz! Brain of the UK,gametdb
BCES00348,Buzz! Le Plus Malin Des Français,gametdb
BCES00349,Buzz! Il Quizzone Nazionale,gametdb
BCES00350,Buzz! Deutschlands Superquiz,gametdb
BCES00351,Buzz! ¿Qué Sabes de tu País?,gametdb
BCES00363,Buzz! Brain of Oz,gametdb
BCES00364,Buzz! Brain of the World,gametdb
BCES00365,Buzz! Brain of Switzerland,gametdb
BCES00366,Buzz! Brain of the UK,gametdb
BCES00367,Buzz! Polskie Łamigłówki,gametdb
BCES00381,SingStar ABBA,gametdb
BCES00423,SingStar ABBA,gametdb
BCES00440,Buzz! Quiz World,gametdb
